27/06/2022 10.43.17 PC01 00   (TGVSPEC) - Start del software
27/06/2022 10.43.41 PC01 00   (COM01  ) - Abilita/Disabilita comunicazione
27/06/2022 10.52.37 PC01 00   (TGVSPEC) - Start del software
27/06/2022 10.52.53 PC01 00   (COM02  ) - Abilita/Disabilita comunicazione
27/06/2022 10.54.41 PC01 00   (TGVSPEC) - Close del software
27/06/2022 11.26.54 PC01 00   (TGVSPEC) - Start del software
27/06/2022 11.27.07 PC01 00   (COM02  ) - Abilita/Disabilita comunicazione
27/06/2022 11.30.12 PC01 00   (TGVSPEC) - Close del software
27/06/2022 13.51.55 PC01 00   (TGVSPEC) - Start del software
27/06/2022 13.52.11 PC01 00   (COM01  ) - Abilita/Disabilita comunicazione
27/06/2022 13.58.34 PC01 00   (TGVSPEC) - Start del software
27/06/2022 13.59.03 PC01 00   (COM01  ) - Abilita/Disabilita comunicazione
27/06/2022 14.00.26 PC01 00   (TGVSPEC) - Start del software
27/06/2022 14.01.00 PC01 00   (COM01  ) - Abilita/Disabilita comunicazione
27/06/2022 14.02.41 PC01 00   (TGVSPEC) - Start del software
27/06/2022 14.03.11 PC01 00   (COM01  ) - Abilita/Disabilita comunicazione
27/06/2022 14.08.23 PC01 00   (TGVSPEC) - Start del software
27/06/2022 14.08.47 PC01 00   (COM01  ) - Abilita/Disabilita comunicazione
27/06/2022 14.09.33 PC01 00   (TGVSPEC) - Close del software
27/06/2022 14.12.48 PC01 00   (TGVSPEC) - Start del software
27/06/2022 14.13.31 PC01 00   (TGVSPEC) - Start del software
27/06/2022 14.13.56 PC01 00   (TGVSPEC) - Close del software
27/06/2022 14.16.03 PC01 00   (TGVSPEC) - Start del software
27/06/2022 14.28.59 PC01 00   (TGVSPEC) - Start del software
27/06/2022 14.31.46 PC01 00   (TGVSPEC) - Start del software
27/06/2022 14.39.29 PC01 00   (TGVSPEC) - Start del software
27/06/2022 14.40.30 PC01 00   (TGVSPEC) - Start del software
27/06/2022 14.42.20 PC01 00   (TGVSPEC) - Close del software
27/06/2022 14.42.32 PC01 00   (TGVSPEC) - Start del software
27/06/2022 14.49.40 PC01 00   (TGVSPEC) - Start del software
27/06/2022 14.51.33 PC01 00   (TGVSPEC) - Start del software
27/06/2022 15.00.13 PC01 00   (TGVSPEC) - Start del software
27/06/2022 15.18.02 PC01 00   (TGVSPEC) - Start del software
27/06/2022 15.18.53 PC01 00   (SEMIAUT) - Missioni in semiautomatico
27/06/2022 15.18.57 PC01 00   (EDITTGV) - Modifica dati TGV1
27/06/2022 15.19.02 PC01 00   (SEMIAUT) - Missioni in semiautomatico
27/06/2022 15.20.18 PC01 00   (TGVSPEC) - Close del software
27/06/2022 15.22.26 PC01 00   (TGVSPEC) - Start del software
27/06/2022 15.22.42 PC01 00   (RES_MIS) - Reset missione Tgv1
27/06/2022 15.22.42 PC01 00   (RES_CH ) - Reset chiamata Tgv1
27/06/2022 15.23.14 PC01 00   (RES_MIS) - Reset missione Tgv1
27/06/2022 15.23.14 PC01 00   (RES_CH ) - Reset chiamata Tgv1
27/06/2022 15.23.48 PC01 00   (SEMIAUT) - Missioni in semiautomatico
27/06/2022 15.30.33 PC01 00   (TGVSPEC) - Start del software
27/06/2022 15.31.49 PC01 00   (RES_MIS) - Reset missione Tgv1
27/06/2022 15.31.49 PC01 00   (RES_CH ) - Reset chiamata Tgv1
